course_name,level,cutoff_atar,award_type,provider,duration,field_of_education,campus
D Psychology (Clinical),Postgraduate,,Doctorate by coursework,The Australian National University,3 years,Psychology,Acton ACT
D.Clinical Dentistry,Postgraduate,,Doctorate by coursework,The University of Adelaide,3 years,Dentistry,Teaching Hospitals SA
D.Veterinary Medicine,Postgraduate,,Master's by coursework,The University of Adelaide,3 years,Veterinary Science,Roseworthy SA
Doctor BioTechnology,Postgraduate,,Doctorate by coursework,The University of Queensland,3 years,Food Science & Biotechnology,STLUCIA QLD
Advanced Diploma in Theology,Undergraduate,N/A,Advanced Diploma,MCD University of Divinity,2 years,Religious Studies,PARKVILLE VIC
Advanced Diploma in Theology,Undergraduate,N/A,Advanced Diploma,MCD University of Divinity,2 years,Religious Studies,Box Hill VIC
Advanced Diploma of Applied Science (Chief Mate/Master) (J2V),Undergraduate,N/A,Advanced Diploma,University of Tasmania,1 year,Marine Craft Operation,Launceston TAS
Advanced Diploma of Applied Science (Nautical Science) (22N),Undergraduate,60.00,Advanced Diploma,University of Tasmania,2 years,Marine Craft Operation,Launceston TAS
Advanced Diploma of Applied Science (Nautical Science) (J2U),Undergraduate,N/A,Advanced Diploma,University of Tasmania,3.5 years,Marine Craft Operation,Launceston TAS
Doctor Clinical Dentistry,Postgraduate,,Doctorate by coursework,The University of Queensland,3 years,Dentistry,STLUCIA QLD
Doctor Clinical Dentistry,Postgraduate,,Doctorate by coursework,The University of Queensland,3 years,Dentistry,HERSTON QLD
Doctor Clinical Dentistry (Dento-Maxillofacial Radiology),Postgraduate,,Doctorate by coursework,The University of Queensland,3 years,Dentistry,STLUCIA QLD
Doctor Clinical Dentistry (Dento-Maxillofacial Radiology),Postgraduate,,Doctorate by coursework,The University of Queensland,3 years,Dentistry,HERSTON QLD
Doctor Clinical Dentistry (Orthodontics),Postgraduate,,Doctorate by coursework,The University of Queensland,3 years,Dentistry,STLUCIA QLD
Advanced Diploma of Business,Undergraduate,N/A,Advanced Diploma,Federation University Australia,1.5 years,Business Management,Mt Helen VIC
Advanced Diploma of Computing,Undergraduate,N/A,Advanced Diploma,Federation University Australia,1.5 years,Information Technology n.e.c.,Mt Helen VIC
Advanced Diploma of Languages,Undergraduate,N/A,Advanced Diploma,University of New South Wales,1 year,Language & Literature,Sydney NSW
Advanced Diploma of Management,Undergraduate,N/A,Advanced Diploma,Federation University Australia,1.5 years,Business & Management,Mt Helen VIC
Doctor Clinical Dentistry (Orthodontics),Postgraduate,,Doctorate by coursework,The University of Queensland,3 years,Dentistry,HERSTON QLD
Doctor Clinical Dentistry (Paediatric Dentistry),Postgraduate,,Doctorate by coursework,The University of Queensland,3 years,Dentistry,STLUCIA QLD
Doctor Clinical Dentistry (Paediatric Dentistry),Postgraduate,,Doctorate by coursework,The University of Queensland,3 years,Dentistry,HERSTON QLD
Doctor of Advanced Medicine,Postgraduate,,Doctorate by coursework,Macquarie University,3 years,Surgery,Macquarie University NSW
Doctor of Advanced Surgery,Postgraduate,,Doctorate by coursework,Macquarie University,3 years,Surgery,Macquarie University NSW
Advanced Diploma of Marine Engineering (22M),Undergraduate,60.00,Advanced Diploma,University of Tasmania,2 years,Maritime Engineering & Technology n.e.c.,Launceston TAS
Advanced Diploma of Marine Engineering (Chief Engineer) (J2X),Undergraduate,N/A,Advanced Diploma,University of Tasmania,1 year,Maritime Engineering,Launceston TAS
Advanced Diploma of Marine Engineering (J2W),Undergraduate,N/A,Advanced Diploma,University of Tasmania,3 years,Maritime Engineering,Launceston TAS
Advanced Diploma of Maritime and Logistics Management (J2N),Undergraduate,60.00,Advanced Diploma,University of Tasmania,1.5 years,Business & Management n.e.c.,Launceston TAS
DOCTOR OF APPLIED PSYCHOLOGY (COMMUNITY PSYCHOLOGY),Postgraduate,,Doctorate by coursework,Victoria University,3 years,Psychology,Footscray Park VIC
DOCTOR OF APPLIED PSYCHOLOGY (SPORT PSYCHOLOGY STREAM),Postgraduate,,Doctorate by coursework,Victoria University,3 years,Psychology,Footscray Park VIC
DOCTOR OF BUSINESS ADMINISTRATION,Postgraduate,,Doctorate by coursework,Deakin University,3 years,Business & Management,BURWOOD VIC
DOCTOR OF BUSINESS ADMINISTRATION,Postgraduate,,Doctorate by coursework,Deakin University,3 years,Business & Management,DISTANCE EDUCATION
Doctor of Business Administration,Postgraduate,,Doctorate by coursework,Federation University Australia,3 years,Business & Management n.e.c.,Mt Helen VIC
Advanced Diploma of Maritime and Logistics Management (J2N),Undergraduate,60.00,Advanced Diploma,University of Tasmania,1.5 years,Business & Management n.e.c.,Distance Education
Advanced Diploma of Maritime Operations (22P),Undergraduate,60.00,Advanced Diploma,University of Tasmania,2 years,Maritime Engineering & Technology n.e.c.,Launceston TAS
Advanced Diploma of Music,Undergraduate,N/A,Advanced Diploma,University of New South Wales,1 year,Music,Sydney NSW
Ass Deg in Fashion Des & Tech,Undergraduate,N/A,Associate Degree,RMIT University,2 years,Fashion Design,Brunswick Campus VIC
Doctor of Business Administration,Postgraduate,,Doctorate by coursework,University of Newcastle,3 years,Business Management,Hunghom Kowloon Hong Kong (SAR of China)
Doctor of Business Administration,Postgraduate,,Doctorate by coursework,University of Newcastle,3 years,Business Management,Distance Education
Doctor of Clinical Dentistry,Postgraduate,,Doctorate by coursework,Griffith University,3 years,Dentistry,Gold Coast QLD
Doctor of Clinical Dentistry,Postgraduate,,Doctorate by coursework,James Cook University,3 years,Dentistry,Cairns QLD
Ass Deg in Graphic Design,Undergraduate,N/A,Associate Degree,RMIT University,2 years,Graphic Arts & Design Studies,Brunswick Campus VIC
Ass Deg in Health Sciences,Undergraduate,,Associate Degree,RMIT University,2 years,Health n.e.c.,City Campus VIC
Ass Deg in Screenwriting,Undergraduate,N/A,Associate Degree,RMIT University,2 years,Communication & Media Studies n.e.c.,City Campus VIC
Ass Deg Interior Dec & Design,Undergraduate,N/A,Associate Degree,RMIT University,2 years,Interior & Environmental Design,City Campus VIC
Ass Deg Legal Prac (Paralegal),Undergraduate,,Associate Degree,RMIT University,2 years,Legal Practice,City Campus VIC
Doctor of Clinical Dentistry,Postgraduate,,Doctorate by coursework,The University of Melbourne,3 years,Dentistry,PARKVILLE VIC
Doctor of Clinical Dentistry,Postgraduate,,Masters (Extended),The University of Western Australia,4 years,Dentistry,CRAWLEY WA
Doctor of Clinical Dentistry (Dental Public Health),Postgraduate,,Doctorate by coursework,The University of Sydney,3 years,Dentistry,Westmead NSW
Doctor of Clinical Dentistry (Oral Medicine and Oral Pathology),Postgraduate,,Doctorate by coursework,The University of Sydney,3 years,Dentistry,Westmead NSW
Doctor of Clinical Dentistry (Oral Surgery),Postgraduate,,Doctorate by coursework,The University of Sydney,3 years,Dentistry,Surry Hills NSW
Ass Deg Prof Writing & Editing,Undergraduate,N/A,Associate Degree,RMIT University,2 years,Written Communication,City Campus VIC
Ass Deg Screen & Media Product,Undergraduate,N/A,Associate Degree,RMIT University,2 years,Communication & Media Studies n.e.c.,City Campus VIC
Ass Deg Visual Merchandising,Undergraduate,N/A,Associate Degree,RMIT University,2 years,Sales & Marketing n.e.c.,City Campus VIC
Ass Degree in Applied Science,Undergraduate,,Associate Degree,RMIT University,2 years,Natural & Physical Sciences n.e.c.,City Campus VIC
Ass Degree in Eng Tech,Undergraduate,N/A,Associate Degree,RMIT University,2 years,Engineering & Related Technologies n.e.c.,City Campus VIC
Doctor of Clinical Dentistry (Orthodontics),Postgraduate,,Doctorate by coursework,The University of Sydney,3 years,Dentistry,Surry Hills NSW
Doctor of Clinical Dentistry (Paediatric Dentistry),Postgraduate,,Doctorate by coursework,The University of Sydney,3 years,Dentistry,Westmead NSW
Doctor of Clinical Dentistry (Periodontics),Postgraduate,,Doctorate by coursework,The University of Sydney,3 years,Dentistry,Surry Hills NSW
Doctor of Clinical Dentistry (Prosthodontics),Postgraduate,,Doctorate by coursework,The University of Sydney,3 years,Dentistry,Westmead NSW
Ass Degree in FashTextMerch,Undergraduate,N/A,Associate Degree,RMIT University,2 years,Graphic & Design Studies n.e.c.,Brunswick Campus VIC
AssDeg EngTech (Civil),Undergraduate,,Associate Degree,RMIT University,2 years,Civil Engineering,City Campus VIC
AssDeg EngTech (Network),Undergraduate,,Associate Degree,RMIT University,2 years,Electrical & Electrical Engineering & Tech n.e.c.,City Campus VIC
AssDeg in Design (Furniture),Undergraduate,N/A,Associate Degree,RMIT University,2 years,Graphic & Design Studies n.e.c.,City Campus VIC
AssDeg InfoTech,Undergraduate,,Associate Degree,RMIT University,2 years,Other Information Technology,City Campus VIC
Doctor of Clinical Dentistry (Special Care Dentistry),Postgraduate,,Doctorate by coursework,The University of Sydney,3 years,Dentistry,Westmead NSW
Doctor of Clinical Physiotherapy,Postgraduate,,Doctorate by coursework,Curtin University of Technology,3 years,Physiotherapy,Bentley Campus WA
Doctor of Clinical Physiotherapy (Coursework),Postgraduate,,Doctorate by coursework,The University of Melbourne,3 years,Physiotherapy,PARKVILLE VIC
Doctor of Clinical Podiatry,Postgraduate,,Masters (Extended),The University of Western Australia,4 years,Podiatry,CRAWLEY WA
Doctor of Clinical Psychology,Postgraduate,,Doctorate by coursework,The University of Sydney,2 years,Psychology,Camperdown NSW
AssDegEngTech(ElectricElectro),Undergraduate,,Associate Degree,RMIT University,2 years,Electronic Engineering,City Campus VIC
Assoc Degree Mine Op Mgmt,Undergraduate,53.70,Associate Degree,Central Queensland University,2 years,Process & Resources Engineering,Distance Ed
AssocDegree Business-UQ Colleg,Undergraduate,51.05,Associate Degree,The University of Queensland,2 years,Business & Management n.e.c.,IPSWICH QLD
Associate Degree - Faculty of Humanities & Social Sciences,Undergraduate,N/A,Associate Degree,Bond University,1.5 years,Society & Culture n.e.c.,Bond University QLD
Doctor of Clinical Surgery,Postgraduate,,Doctorate by coursework,The University of Sydney,3 years,Surgery,Camperdown NSW
Doctor of Dental Medicine,Postgraduate,,Master's by coursework,The University of Sydney,4 years,Dentistry,Westmead NSW
Doctor of Dental Medicine,Postgraduate,,Masters (Extended),The University of Western Australia,4 years,Dentistry,CRAWLEY WA
Doctor of Dental Surgery,Postgraduate,,Master's by coursework,The University of Melbourne,4 years,Dentistry,PARKVILLE VIC
Doctor of Diplomatic Studies,Postgraduate,,Doctorate by coursework,The Australian National University,2 years,Political Science,Acton ACT
Associate Degree (Business),Undergraduate,N/A,Associate Degree,The Australian National University,2 years,Business Management,Acton ACT
Associate Degree (Education Support) (42A),Undergraduate,N/A,Associate Degree,University of Tasmania,2 years,Education n.e.c.,Launceston TAS
Associate Degree (Education Support) (42A),Undergraduate,N/A,Associate Degree,University of Tasmania,2 years,Education n.e.c.,Burnie TAS
Associate Degree (Education Support) (42A),Undergraduate,N/A,Associate Degree,University of Tasmania,2 years,Education n.e.c.,Distance Education
Doctor of Information Technology Management,Postgraduate,,Doctorate by coursework,University of South Australia,3 years,Information Systems,Adelaide SA
Doctor of Medicine,Postgraduate,,Masters (Extended),Flinders University,4 years,Medical Studies,Adelaide at Bedford Park SA
Doctor of Medicine,Postgraduate,,Master's by coursework,The University of Melbourne,4 years,General Medicine,PARKVILLE VIC
Doctor of Medicine,Postgraduate,,Master's by coursework,The University of Sydney,4 years,General Medicine,Camperdown NSW
Doctor of Medicine,Postgraduate,,Masters (Extended),The University of Western Australia,4 years,Medical Studies,CRAWLEY WA
Associate Degree (Science and Technology),Undergraduate,N/A,Associate Degree,The Australian National University,2 years,Natural & Physical Sciences n.e.c.,Acton ACT
Associate Degree (Social Studies),Undergraduate,N/A,Associate Degree,The Australian National University,2 years,Society & Culture n.e.c.,Acton ACT
Associate Degree in Adult and Vocational Education,Undergraduate,N/A,Associate Degree,Charles Sturt University,1 year,Teacher Education: Vocational Education & Training,Distance Education
Associate Degree in Agrifood Systems,Undergraduate,N/A,Associate Degree,University of New England,2 years,Agriculture,Armidale NSW
Associate Degree in Agrifood Systems,Undergraduate,N/A,Associate Degree,University of New England,2 years,Agriculture,Distance Education
Doctor of Musical Arts (Coursework),Postgraduate,,Doctorate by coursework,The University of Melbourne,3 years,Music,PARKVILLE VIC
Doctor of Optometry,Postgraduate,,Master's by coursework,The University of Melbourne,4 years,Optometry,PARKVILLE VIC
Doctor of Organisational Psychology,Postgraduate,,Doctorate by coursework,Macquarie University,3 years,Psychology,Macquarie University NSW
Doctor of Physiotherapy,Postgraduate,,Master's by coursework,Bond University,3 years,Physiotherapy,Bond University QLD
Doctor of Physiotherapy,Postgraduate,,Master's by coursework,Macquarie University,3 years,Physiotherapy,Macquarie University NSW
Associate Degree in Applied Science (Marine Environment) (J2C),Undergraduate,60.00,Associate Degree,University of Tasmania,2 years,Environmental Studies n.e.c.,Launceston TAS
Associate Degree in Aquaculture (J2A),Undergraduate,60.00,Associate Degree,University of Tasmania,2 years,"Land, Parks & Wildlife Management",Launceston TAS
Associate Degree in Architectural Studies,Undergraduate,N/A,Associate Degree,Bond University,1.5 years,Architecture,Bond University QLD
Associate Degree in Arts,Undergraduate,53.70,Associate Degree,University of the Sunshine Coast,2 years,Society & Culture n.e.c.,Sippy Downs QLD
Doctor of Physiotherapy,Postgraduate,,Master's by coursework,The University of Melbourne,3 years,Physiotherapy,PARKVILLE VIC
Doctor of Podiatric Medicine,Postgraduate,,Masters (Extended),The University of Western Australia,3 years,Podiatry,CRAWLEY WA
Doctor of Policing and Security,Postgraduate,,Doctorate by coursework,Charles Sturt University,3 years,Police Studies,Distance Education
Doctor of Professional Studies,Postgraduate,,Doctorate by coursework,University of Southern Queensland,3 years,Education n.e.c.,Fraser Coast QLD
Doctor of Professional Studies,Postgraduate,,Doctorate by coursework,University of Southern Queensland,3 years,Education n.e.c.,DISTANCE EDUCATION
Associate Degree in Arts (R2B),Undergraduate,N/A,Associate Degree,University of Tasmania,2 years,Society & Culture n.e.c.,Launceston TAS
Associate Degree in Arts (R2B),Undergraduate,N/A,Associate Degree,University of Tasmania,2 years,Society & Culture n.e.c.,Burnie TAS
Associate Degree in Arts (R2B),Undergraduate,N/A,Associate Degree,University of Tasmania,2 years,Society & Culture n.e.c.,Hobart TAS
Associate Degree in Built Environment,Undergraduate,60.60,Associate Degree,University of South Australia,2 years,Building,Adelaide SA
Doctor of Psychology,Postgraduate,,Doctorate by coursework,Charles Sturt University,3 years,Psychology,Distance Education
Doctor of Psychology,Postgraduate,,Doctorate by coursework,James Cook University,3 years,Psychology,Townsville QLD
Doctor of Psychology,Postgraduate,,Masters (Extended),The University of Western Australia,3 years,Psychology,CRAWLEY WA
Doctor of Psychology (Clinical Neuropsychology),Postgraduate,,Doctorate by coursework,The University of Melbourne,3 years,Psychology,PARKVILLE VIC
Doctor of Psychology (Clinical Psychology),Postgraduate,,Doctorate by coursework,The University of Melbourne,3 years,Psychology,PARKVILLE VIC
Associate Degree in Business,Undergraduate,,Associate Degree,RMIT University,2 years,Business & Management n.e.c.,City Campus VIC
Associate Degree in Business,Undergraduate,53.70,Associate Degree,University of the Sunshine Coast,2 years,Management & Commerce n.e.c.,Sippy Downs QLD
Associate Degree in Business Administration (Indigenous Studies),Undergraduate,N/A,Associate Degree,Australian Catholic University,2 years,Business Management,BRISBANE QLD
Associate Degree in Business Management (C2C),Undergraduate,N/A,Associate Degree,University of Tasmania,2 years,Business Management,Burnie TAS
DOCTOR OF PSYCHOLOGY (CLINICAL PSYCHOLOGY),Postgraduate,,Doctorate by coursework,Victoria University,3 years,Psychology,St Albans VIC
Doctor of Psychology (Clinical),Postgraduate,,Doctorate by coursework,Queensland University of Technology,3 years,Psychology,KELVIN GROVE QLD
Doctor of Psychology (Clinical),Postgraduate,,Doctorate by coursework,University of Southern Queensland,3 years,Psychology,TOOWOOMBA QLD
Doctor of Psychology (Health),Postgraduate,,Doctorate by coursework,The University of Melbourne,3 years,Psychology,PARKVILLE VIC
Doctor of Psychology in Clinical Neuropsychology,Postgraduate,,Doctorate by coursework,La Trobe University,3 years,Psychology,BUNDOORA VIC
Associate Degree in Business Management (C2C),Undergraduate,N/A,Associate Degree,University of Tasmania,2 years,Business Management,Hobart TAS
Associate Degree in Business Management (C2C),Undergraduate,N/A,Associate Degree,University of Tasmania,2 years,Business Management,Launceston TAS
Associate Degree in Computing (S2D),Undergraduate,N/A,Associate Degree,University of Tasmania,2 years,Computer Science,Launceston TAS
Associate Degree in Computing (S2D),Undergraduate,N/A,Associate Degree,University of Tasmania,2 years,Computer Science,Hobart TAS
Doctor of Psychology in Clinical Psychology,Postgraduate,,Doctorate by coursework,La Trobe University,3 years,Psychology,BUNDOORA VIC
DOCTOR OF PSYCHOLOGY IN CLINICAL PSYCHOLOGY,Postgraduate,,Doctorate by coursework,Murdoch University,3 years,Psychology,MURDOCH WA
DOCTOR OF PSYCHOLOGY IN ORGANISATIONAL PSYCHOLOGY,Postgraduate,,Doctorate by coursework,Murdoch University,3 years,Psychology,MURDOCH WA
Doctor of Psychology-Clinical Psychology (Child Specialization),Postgraduate,,Doctorate by coursework,The University of Melbourne,3 years,Psychology,PARKVILLE VIC
Doctor of Veterinary Medicine,Postgraduate,,Master's by coursework,The University of Melbourne,4 years,Veterinary Science,PARKVILLE VIC
Associate Degree in Creative Industries,Undergraduate,N/A,Associate Degree,University of Western Sydney,2 years,Business & Management n.e.c.,Nirimba (Blacktown) NSW
Associate Degree in Creative Industries,Undergraduate,N/A,Associate Degree,University of Western Sydney,2 years,Business & Management n.e.c.,Westmead Precinct NSW
Associate Degree in Criminology and Justice,Undergraduate,55.00,Associate Degree,Edith Cowan University,2 years,Criminology,JOONDALUP WA
Associate Degree in Criminology and Justice,Undergraduate,55.00,Associate Degree,Edith Cowan University,2 years,Criminology,DISTANCE EDUCATION
Doctor Psychology,Postgraduate,,Doctorate by coursework,The University of Queensland,3 years,Psychology,STLUCIA QLD
Doctor Psychology (Clinical Neuro & Clin Psych),Postgraduate,,Doctorate by coursework,The University of Queensland,3 years,Psychology,STLUCIA QLD
Doctor Psychology (Clinical Psychology&Geropsych),Postgraduate,,Doctorate by coursework,The University of Queensland,3 years,Psychology,STLUCIA QLD
Doctor Psychology (Clinical Psychology),Postgraduate,,Doctorate by coursework,The University of Queensland,3 years,Psychology,STLUCIA QLD
ASSOCIATE DEGREE IN CULINARY MANAGEMENT,Undergraduate,N/A,Associate Degree,Victoria University,2 years,Hospitality Management,Footscray Park VIC
ASSOCIATE DEGREE IN CULINARY MANAGEMENT,Undergraduate,N/A,Associate Degree,Victoria University,2 years,Hospitality Management,Footscray Nicholson VIC
Associate Degree in Dementia Care (M2D),Undergraduate,N/A,Associate Degree,University of Tasmania,2 years,General Medicine,Sydney NSW
Associate Degree in Dementia Care (M2D),Undergraduate,N/A,Associate Degree,University of Tasmania,2 years,General Medicine,Hobart TAS
ASSOCIATE DEGREE IN DERMAL THERAPIES,Undergraduate,N/A,Associate Degree,Victoria University,2 years,Health n.e.c.,CITY QUEEN STREET VIC
Exec M Public Administration,Postgraduate,,Master's by coursework,The Australian National University,1.2 years,Policy Studies,Acton ACT
Executive Master of Arts,Postgraduate,,Master's by coursework,The University of Melbourne,2 years,Business Management,PARKVILLE VIC
Executive Master of Business Administration,Postgraduate,,Master's by coursework,Monash University,2 years,Business & Management n.e.c.,CAULFIELD VIC
Executive Master of Business Administration,Postgraduate,,Master's by coursework,Queensland University of Technology,1.5 years,Business Management,BRISBANE QLD
Executive Master of Business Administration,Postgraduate,,Master's by coursework,The University of Sydney,1.5 years,Business & Management n.e.c.,Camperdown NSW
ASSOCIATE DEGREE IN DERMAL THERAPIES,Undergraduate,N/A,Associate Degree,Victoria University,2 years,Health n.e.c.,INTERNET (AUSTRALIA) VIC
ASSOCIATE DEGREE IN ENGINEERING,Undergraduate,N/A,Associate Degree,Charles Darwin University,2 years,Other Engineering & Related Technologies,CASUARINA NT
ASSOCIATE DEGREE IN ENGINEERING,Undergraduate,N/A,Associate Degree,Charles Darwin University,2 years,Other Engineering & Related Technologies,DISTANCE EDUCATION
Executive Master of Business Administration,Postgraduate,,Master's by coursework,"University of Technology, Sydney",2 years,Business & Management n.e.c.,Broadway NSW
Executive Master of Business Administration,Postgraduate,,Master's by coursework,University of the Sunshine Coast,1.5 years,Business & Management n.e.c.,Sippy Downs QLD
Executive Master of Business Administration,Postgraduate,,Master's by coursework,University of Western Sydney,2 years,Business & Management,PARRAMATTA CAMPUS NSW
Executive Master of Public Administration,Postgraduate,,Master's by coursework,The University of Melbourne,1.3 years,Public & Health Care Administration,PARKVILLE VIC
Executive Master of Public Administration,Postgraduate,,Master's by coursework,The University of Sydney,1.3 years,Public & Health Care Administration,Camperdown NSW
Executive Master of Public Administration,Postgraduate,,Master's by coursework,University of Canberra,1 year,Public & Health Care Administration,Bruce ACT
Executive Master of Real Estate,Postgraduate,,Master's by coursework,Bond University,2 years,Real Estate,Bond University QLD
ASSOCIATE DEGREE IN ENGINEERING,Undergraduate,N/A,Associate Degree,Swinburne University of Technology,1.5 years,Engineering & Related Technologies,Hawthorn VIC
Associate Degree in Engineering,Undergraduate,N/A,Associate Degree,University of South Australia,2 years,Engineering & Related Technologies n.e.c.,Mawson Lakes SA
Associate Degree in Engineering,Undergraduate,N/A,Associate Degree,University of South Australia,2 years,Engineering & Related Technologies n.e.c.,Mawson Lakes SA
Associate Degree in Engineering,Undergraduate,N/A,Associate Degree,University of Western Sydney,2 years,Engineering & Related Technologies,Nirimba (Blacktown) NSW
Associate Degree in Engineering,Undergraduate,N/A,Associate Degree,University of Western Sydney,2 years,Engineering & Related Technologies,Lithgow Campus NSW
Associate Degree in Engineering (Mechanical) (72D),Undergraduate,N/A,Associate Degree,University of Tasmania,2 years,"Manufacturing, Engineering & Technology n.e.c.",Burnie TAS
ASSOCIATE DEGREE IN ENTERPRISE SKILLS,Undergraduate,N/A,Associate Degree,Victoria University,2 years,Tourism (Detailed),Footscray Park VIC
ASSOCIATE DEGREE IN ENTERPRISE SKILLS,Undergraduate,N/A,Associate Degree,Victoria University,2 years,Tourism (Detailed),Footscray Nicholson VIC
ASSOCIATE DEGREE IN ENTERPRISE SKILLS,Undergraduate,N/A,Associate Degree,Victoria University,2 years,Tourism (Detailed),CITY KING CAMPUS VIC
ASSOCIATE DEGREE IN ENTERPRISE SKILLS,Undergraduate,N/A,Associate Degree,Victoria University,2 years,Tourism (Detailed),Newport VIC
Associate Degree in Environmental Horticulture,Undergraduate,57.50,Associate Degree,The University of Melbourne,2 years,Horticulture,RICHMOND VIC
Associate Degree in Fine Art,Undergraduate,N/A,Associate Degree,Curtin University of Technology,2 years,Graphic Arts & Design Studies,Bentley Campus WA
Associate Degree in Furniture Design (S2F),Undergraduate,N/A,Associate Degree,University of Tasmania,2 years,Crafts,Launceston TAS
Associate Degree in General Studies (C2B),Undergraduate,N/A,Associate Degree,University of Tasmania,2 years,Management & Commerce n.e.c.,Burnie TAS
Associate Degree in General Studies (C2B),Undergraduate,N/A,Associate Degree,University of Tasmania,2 years,Management & Commerce n.e.c.,Hobart TAS
